┏━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━┳━━━━━━┳━━━━━━━━━━━┳━━━━━━━━━━┳━━━━━━━┳━━━━━━━━━━━━━━┳━━━━━━━━━━━┳━━━━━━━━━━━━┳━━━━━━━━━━━┳━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━━━━━━━━━━━┓
┃ Name                                                    ┃ Motors   ┃ Whl  ┃ CurrLim   ┃ Test     ┃ TTG   ┃ TractForce   ┃ MinVolt   ┃ PushCurr   ┃ TurnCurr  ┃ MaxSpd  ┃ Stages                      ┃
│ WCP SS Gearbox                                          │ 6        │ 6    │ 48        │ 0.0085   │ 1.1   │ 129.25       │ 8.7       │ 267        │ 125       │ 13.6    │ (11, 50, 24, 50)            │
│ WCP DS Gearbox                                          │ 6        │ 4    │ 45        │ 0.0085   │ 1.1   │ 128.94       │ 8.95      │ 250        │ 127       │ 12.85   │ (13, 42, 24, 50)            │
│ WCP SS Gearbox                                          │ 6        │ 6    │ 47        │ 0.0085   │ 1.1   │ 128.79       │ 8.8       │ 261        │ 123       │ 13.4    │ (14, 50, 20, 54)            │
│ WCP DS Gearbox                                          │ 6        │ 6    │ 54        │ 0.0086   │ 1.05  │ 122.53       │ 8.25      │ 300        │ 147       │ 15.55   │ (11, 42, 24, 50)            │
│ WCP DS Gearbox                                          │ 6        │ 4    │ 51        │ 0.0086   │ 1.05  │ 122.02       │ 8.45      │ 283        │ 152       │ 14.95   │ (11, 42, 30, 44)            │
│ WCP DS Gearbox                                          │ 6        │ 4    │ 48        │ 0.0086   │ 1.1   │ 127.96       │ 8.7       │ 267        │ 137       │ 13.75   │ (14, 42, 24, 50)            │
│ WCP SS Gearbox                                          │ 6        │ 4    │ 45        │ 0.0086   │ 1.1   │ 127.71       │ 8.95      │ 250        │ 129       │ 12.95   │ (11, 50, 30, 44)            │
│ WCP SS Gearbox                                          │ 6        │ 4    │ 53        │ 0.0087   │ 1.05  │ 121.22       │ 8.3       │ 294        │ 158       │ 15.45   │ (11, 50, 34, 40)            │
│ WCP SS Gearbox                                          │ 6        │ 6    │ 53        │ 0.0087   │ 1.05  │ 121.09       │ 8.3       │ 294        │ 146       │ 15.45   │ (13, 50, 24, 50)            │
│ WCP SS Gearbox                                          │ 6        │ 4    │ 54        │ 0.0087   │ 1.05  │ 121.03       │ 8.25      │ 300        │ 161       │ 15.65   │ (14, 50, 30, 44)            │
│ WCP SS Gearbox                                          │ 6        │ 6    │ 49        │ 0.0087   │ 1.05  │ 121.02       │ 8.65      │ 272        │ 136       │ 14.55   │ (12, 50, 24, 50)            │
│ VEX Single Speed, Single Reduction Gearbox              │ 6        │ 4    │ 53        │ 0.0087   │ 1.05  │ 120.89       │ 8.3       │ 294        │ 159       │ 15.45   │ (12, 64)                    │
│ WCP SS Gearbox                                          │ 6        │ 4    │ 50        │ 0.0087   │ 1.05  │ 120.44       │ 8.55      │ 278        │ 150       │ 14.85   │ (13, 50, 30, 44)            │
│ WCP DS Gearbox                                          │ 6        │ 6    │ 53        │ 0.0087   │ 1.05  │ 120.21       │ 8.3       │ 294        │ 147       │ 15.5    │ (11, 42, 24, 50)            │
│ WCP SS Gearbox                                          │ 6        │ 6    │ 47        │ 0.0087   │ 1.1   │ 126.48       │ 8.8       │ 261        │ 125       │ 13.6    │ (11, 50, 24, 50)            │
│ WCP DS Gearbox                                          │ 6        │ 4    │ 44        │ 0.0087   │ 1.1   │ 125.99       │ 9.05      │ 244        │ 127       │ 12.8    │ (13, 42, 24, 50)            │
│ WCP SS Gearbox                                          │ 6        │ 6    │ 46        │ 0.0087   │ 1.1   │ 125.97       │ 8.85      │ 256        │ 123       │ 13.4    │ (14, 50, 20, 54)            │
│ EVO Slim                                                │ 6        │ 4    │ 42        │ 0.0087   │ 1.15  │ 132.0        │ 9.2       │ 229        │ 114       │ 11.5    │ (15, 85, 30, 40)            │
│ WCP SS Gearbox                                          │ 6        │ 6    │ 42        │ 0.0087   │ 1.15  │ 132.0        │ 9.2       │ 230        │ 107       │ 11.55   │ (12, 50, 20, 54)            │
│ WCP SS Gearbox                                          │ 6        │ 4    │ 42        │ 0.0087   │ 1.15  │ 132.0        │ 9.2       │ 232        │ 116       │ 11.65   │ (14, 50, 24, 50)            │
│ EVO Slim                                                │ 6        │ 4    │ 43        │ 0.0087   │ 1.15  │ 132.0        │ 9.1       │ 229        │ 114       │ 11.5    │ (15, 85, 30, 40)            │
│ WCP SS Gearbox                                          │ 6        │ 6    │ 43        │ 0.0087   │ 1.15  │ 132.0        │ 9.1       │ 230        │ 107       │ 11.55   │ (12, 50, 20, 54)            │
